epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,13849.5,0.92108,0.90162,1.50038,0.80735,0.78363,0.84243,0.55355,1.12598,0.93899,1.70734,0.000551584,0.000551584,0.000551584
143,13946.9,0.93769,0.92999,1.50993,0.87732,0.74526,0.85808,0.56985,1.11611,0.95001,1.69947,0.000546421,0.000546421,0.000546421
144,14044.3,0.91332,0.86963,1.47824,0.83536,0.74252,0.8231,0.534,1.14409,1.01231,1.73151,0.000541253,0.000541253,0.000541253
145,14141.5,0.9289,0.87685,1.50299,0.78684,0.81027,0.83757,0.55411,1.09478,0.95985,1.66852,0.000536081,0.000536081,0.000536081
146,14238.8,0.90252,0.89541,1.48737,0.79843,0.79436,0.84361,0.56395,1.07723,0.96741,1.65162,0.000530906,0.000530906,0.000530906
147,14336.1,0.9141,0.88392,1.49513,0.84916,0.729,0.83625,0.55138,1.11275,0.93575,1.68569,0.000525728,0.000525728,0.000525728
148,14433.1,0.89691,0.87688,1.48988,0.81154,0.7832,0.84094,0.55125,1.08362,0.95579,1.65297,0.000520548,0.000520548,0.000520548
149,14530.5,0.89053,0.83743,1.47417,0.86377,0.75068,0.85634,0.57077,1.08341,0.91066,1.66288,0.000515366,0.000515366,0.000515366
150,14627.7,0.90036,0.88248,1.47943,0.82744,0.79404,0.84536,0.57088,1.08298,0.93866,1.68507,0.000510184,0.000510184,0.000510184
151,14724.8,0.87234,0.84703,1.46295,0.82142,0.78591,0.85872,0.56429,1.09331,0.91226,1.65546,0.000505,0.000505,0.000505
152,14822.1,0.86093,0.81005,1.45875,0.84735,0.79133,0.84395,0.5594,1.11102,0.94718,1.69462,0.000499816,0.000499816,0.000499816
153,14919.5,0.92161,0.87924,1.48885,0.78389,0.7832,0.82833,0.53603,1.16225,0.98231,1.72281,0.000494634,0.000494634,0.000494634
